phase_num,steps_skip,steps_skip_forecast,tc,apc,aec,agc,agent_time_elapsed
3,12,1,0.8516831459181158,0.7676524559432687,0.9357138358929629,1.306655884426121,715.6924415125977
3,11,1,0.851249685536256,0.7684601980387435,0.9340391730337685,1.2889018759104025,778.2881093022879
3,10,1,0.8509207748343802,0.7678219607644294,0.934019588904331,1.2866170548953906,867.9247285299934
3,9,1,0.8507909253922207,0.7682843997615061,0.9332974510229353,1.2904143563350985,951.9840003813151
3,8,1,0.8495101293655736,0.7684322756995785,0.9305879830315685,1.2920161729406079,1091.5720599039923
3,7,1,0.8498037633238349,0.7682840870453962,0.9313234396022736,1.294142555048774,1229.1264630693477
3,6,1,0.8497500257076789,0.7690346916582641,0.9304653597570937,1.2867702011445308,1422.1072322237305
3,5,1,0.8489541843466953,0.7682560901771928,0.9296522785161979,1.29648309279228,1709.0053258403204
3,4,1,0.847577537472897,0.7675165338892521,0.9276385410565419,1.281522307208034,2142.483246570453
3,3,1,0.8465266227597479,0.7681674552346789,0.924885790284817,1.287028473502469,2823.3542273764033
3,2,1,0.8454167904205582,0.7675792278075898,0.9232543530335265,1.2866571651612102,4167.633408786729
3,1,1,0.8423535732378865,0.7661296956691478,0.9185774508066252,1.2855995787242758,8023.835698184324
