unique_id,mae,rmse,acc,nrmse,nmae,smape,crps,crpss,crpss_es,threshold_brier_score,less,
01279,0.817876490085741,1.1444186841359192,0.6981330134722837,0.5255989617154908,0.2656092486826446,0.4123408579453718,0.5718397855664495,0.3236255007002138,0.09282573918330171,0.09925661375661377,0.3671527492248861,
01289,0.817964429365443,1.1447513622990064,0.6979105821112789,0.5257508852794526,0.2656371418923231,0.412353739984391,0.5714125765680209,0.32413464410236703,0.09259881253489192,0.09937654320987654,0.36664872934623843,
01345,0.8177447090994717,1.1444327689004623,0.6978394748591351,0.5256052142253104,0.2655657168499985,0.4123974085969893,0.5715378991242851,0.3239898569920258,0.09266751957661461,0.0994567901234568,0.36459604439604254,
01346,0.8165217512367281,1.1423230323247822,0.6989209490743722,0.5246367185704902,0.26516882157780125,0.4121556522908818,0.5703065028947929,0.3254413031967765,0.09225370094550599,0.099657848324515,0.3674978413475299,
01347,0.8168859351561134,1.1426085847911482,0.6988915947635248,0.5247681230216278,0.2652876701027953,0.4122493939452492,0.5712570935473025,0.3243145319805201,0.09272440404286364,0.09976984126984127,0.3678015649885647,
01348,0.8169738744358153,1.1429422276218055,0.6986691566514667,0.5249204919336742,0.26531556331247375,0.4122622759842684,0.570710898182944,0.32496373629895753,0.09231325251170931,0.09998500881834216,0.36729146596986056,
01349,0.8177258933251608,1.143792392839983,0.6982873920087026,0.5253105146646101,0.26555955044591134,0.4126351994144783,0.5714583078469949,0.32408131607629787,0.09257196945563861,0.09991534391534392,0.36623525163327636,
01356,0.8177714049166388,1.144044937129076,0.6981518273424566,0.5254276388360294,0.26557459707587094,0.4123252976811058,0.5711846981671508,0.3244043183614859,0.09236593880539208,0.0990793650793651,0.3670336593055475,
01357,0.8181355888360242,1.1443298962435728,0.6981194644285011,0.5255587686510026,0.265693445600865,0.41241903933547314,0.5722320642537494,0.3231633374999651,0.09287402050307625,0.09917548500881834,0.36733672051448546,
01358,0.818223528115726,1.1446599757649014,0.6978991581436973,0.5257095015922988,0.2657213388105434,0.4124319213744923,0.571620651483333,0.32388971249634513,0.09244664378517116,0.09933597883597885,0.3668358316606512,
01359,0.8189755470050715,1.1455124880361225,0.6975225110740583,0.5261006036742327,0.265965325943981,0.4128048448047023,0.572369043315769,0.323005452241855,0.09273990466357374,0.09923456790123458,0.3657691050015644,
01367,0.8169126309732805,1.1422188699529203,0.6992006400307846,0.5245896778810941,0.2652965503286677,0.4121772830293657,0.5709375043774432,0.324689990073676,0.09243493004370695,0.09935185185185186,0.3702490383060906,
01368,0.8170005702529824,1.1425470321378308,0.6989812115034576,0.5247395281308748,0.2653244435383461,0.4121901650683848,0.5703818326252378,0.3253512460113403,0.09207860573288511,0.09961992945326281,0.36974210977941674,
